Region;ID_Pays;Pays;Var_Sigi;Annee;Valeur
Asia;AFG;Afghanistan;SIGI;2019;52.8
Asia;AFG;Afghanistan;Discrimination in the family;2019;81.3
Asia;AFG;Afghanistan;Restricted physical integrity;2019;39.8
Asia;AFG;Afghanistan;Restricted access to productive and financial resources;2019;45.6
Asia;AFG;Afghanistan;Restricted civil liberties;2019;38.1
Europe;ALB;Albania;SIGI;2019;22.6
Europe;ALB;Albania;Discrimination in the family;2019;33.3
Europe;ALB;Albania;Restricted physical integrity;2019;16.4
Europe;ALB;Albania;Restricted access to productive and financial resources;2019;26
Europe;ALB;Albania;Restricted civil liberties;2019;13.4
Africa;DZA;Algeria;Discrimination in the family;2019;79.9
Africa;DZA;Algeria;Restricted access to productive and financial resources;2019;41.2
Africa;DZA;Algeria;Restricted civil liberties;2019;61.3
Africa;AGO;Angola;Discrimination in the family;2019;47.2
Africa;AGO;Angola;Restricted physical integrity;2019;19
Americas;ATG;Antigua and Barbuda;Discrimination in the family;2019;22.2
Americas;ARG;Argentina;Discrimination in the family;2019;23.1
Americas;ARG;Argentina;Restricted access to productive and financial resources;2019;23
Americas;ARG;Argentina;Restricted civil liberties;2019;7.1
Asia;ARM;Armenia;SIGI;2019;27.8
Asia;ARM;Armenia;Discrimination in the family;2019;33
Asia;ARM;Armenia;Restricted physical integrity;2019;34.5
Asia;ARM;Armenia;Restricted access to productive and financial resources;2019;23.4
Asia;ARM;Armenia;Restricted civil liberties;2019;19.4
Asia;AUS;Australia;SIGI;2019;16.1
Asia;AUS;Australia;Discrimination in the family;2019;21.8
Asia;AUS;Australia;Restricted physical integrity;2019;12.9
Asia;AUS;Australia;Restricted access to productive and financial resources;2019;4.9
Asia;AUS;Australia;Restricted civil liberties;2019;23.6
Europe;AUT;Austria;SIGI;2019;11.7
Europe;AUT;Austria;Discrimination in the family;2019;22.1
Europe;AUT;Austria;Restricted physical integrity;2019;7.7
Europe;AUT;Austria;Restricted access to productive and financial resources;2019;4
Europe;AUT;Austria;Restricted civil liberties;2019;12.1
Asia;AZE;Azerbaijan;SIGI;2019;28.7
Asia;AZE;Azerbaijan;Discrimination in the family;2019;28.2
Asia;AZE;Azerbaijan;Restricted physical integrity;2019;42.8
Asia;AZE;Azerbaijan;Restricted access to productive and financial resources;2019;20.9
Asia;AZE;Azerbaijan;Restricted civil liberties;2019;21.4
Americas;BHS;Bahamas;Discrimination in the family;2019;22
Asia;BHR;Bahrain;Discrimination in the family;2019;92.1
Asia;BGD;Bangladesh;SIGI;2019;54.8
Asia;BGD;Bangladesh;Discrimination in the family;2019;82.9
Asia;BGD;Bangladesh;Restricted physical integrity;2019;28.9
Asia;BGD;Bangladesh;Restricted access to productive and financial resources;2019;52.1
Asia;BGD;Bangladesh;Restricted civil liberties;2019;47.5
Americas;BRB;Barbados;Discrimination in the family;2019;21.8
Europe;BLR;Belarus;SIGI;2019;20.6
Europe;BLR;Belarus;Discrimination in the family;2019;31.6
Europe;BLR;Belarus;Restricted physical integrity;2019;14.7
Europe;BLR;Belarus;Restricted access to productive and financial resources;2019;14.7
Europe;BLR;Belarus;Restricted civil liberties;2019;20.5
Europe;BEL;Belgium;SIGI;2019;11.2
Europe;BEL;Belgium;Discrimination in the family;2019;22
Europe;BEL;Belgium;Restricted physical integrity;2019;8.4
Europe;BEL;Belgium;Restricted access to productive and financial resources;2019;3.3
Europe;BEL;Belgium;Restricted civil liberties;2019;10.3
Americas;BLZ;Belize;Discrimination in the family;2019;23.7
Africa;BEN;Benin;SIGI;2019;39.8
Africa;BEN;Benin;Discrimination in the family;2019;40.5
Africa;BEN;Benin;Restricted physical integrity;2019;27.7
Africa;BEN;Benin;Restricted access to productive and financial resources;2019;36.2
Africa;BEN;Benin;Restricted civil liberties;2019;53.3
Asia;BTN;Bhutan;Discrimination in the family;2019;40.5
Asia;BTN;Bhutan;Restricted physical integrity;2019;22.9
Americas;BOL;Bolivia;SIGI;2019;21.4
Americas;BOL;Bolivia;Discrimination in the family;2019;28.5
Americas;BOL;Bolivia;Restricted physical integrity;2019;16.2
Americas;BOL;Bolivia;Restricted access to productive and financial resources;2019;27.4
Americas;BOL;Bolivia;Restricted civil liberties;2019;12.7
Europe;BIH;Bosnia and Herzegovina;SIGI;2019;21.8
Europe;BIH;Bosnia and Herzegovina;Discrimination in the family;2019;27.4
Europe;BIH;Bosnia and Herzegovina;Restricted physical integrity;2019;10.9
Europe;BIH;Bosnia and Herzegovina;Restricted access to productive and financial resources;2019;30.6
Europe;BIH;Bosnia and Herzegovina;Restricted civil liberties;2019;17.1
Africa;BWA;Botswana;Discrimination in the family;2019;39.6
Africa;BWA;Botswana;Restricted access to productive and financial resources;2019;39.9
Africa;BWA;Botswana;Restricted civil liberties;2019;52.4
Americas;BRA;Brazil;SIGI;2019;21.2
Americas;BRA;Brazil;Discrimination in the family;2019;28
Americas;BRA;Brazil;Restricted physical integrity;2019;14.8
Americas;BRA;Brazil;Restricted access to productive and financial resources;2019;17.5
Americas;BRA;Brazil;Restricted civil liberties;2019;23.9
Asia;BRN;Brunei Darussalam;Discrimination in the family;2019;79.9
Europe;BGR;Bulgaria;SIGI;2019;23.4
Europe;BGR;Bulgaria;Discrimination in the family;2019;27.5
Europe;BGR;Bulgaria;Restricted physical integrity;2019;15.6
Europe;BGR;Bulgaria;Restricted access to productive and financial resources;2019;29.7
Europe;BGR;Bulgaria;Restricted civil liberties;2019;20.1
Africa;BFA;Burkina Faso;SIGI;2019;32.4
Africa;BFA;Burkina Faso;Discrimination in the family;2019;44.9
Africa;BFA;Burkina Faso;Restricted physical integrity;2019;35.5
Africa;BFA;Burkina Faso;Restricted access to productive and financial resources;2019;32.9
Africa;BFA;Burkina Faso;Restricted civil liberties;2019;13.8
Africa;BDI;Burundi;Restricted physical integrity;2019;31.9
Africa;CPV;Cabo Verde;Discrimination in the family;2019;36.8
Africa;CPV;Cabo Verde;Restricted physical integrity;2019;9.9
Asia;KHM;Cambodia;SIGI;2019;29.5
Asia;KHM;Cambodia;Discrimination in the family;2019;34.2
Asia;KHM;Cambodia;Restricted physical integrity;2019;13.5
Asia;KHM;Cambodia;Restricted access to productive and financial resources;2019;27.6
Asia;KHM;Cambodia;Restricted civil liberties;2019;40.9
Africa;CMR;Cameroon;SIGI;2019;51.8
Africa;CMR;Cameroon;Discrimination in the family;2019;51.1
Africa;CMR;Cameroon;Restricted physical integrity;2019;26.3
Africa;CMR;Cameroon;Restricted access to productive and financial resources;2019;77.7
Africa;CMR;Cameroon;Restricted civil liberties;2019;45.4
Americas;CAN;Canada;SIGI;2019;18.3
Americas;CAN;Canada;Discrimination in the family;2019;26.5
Americas;CAN;Canada;Restricted physical integrity;2019;4.2
Americas;CAN;Canada;Restricted access to productive and financial resources;2019;17.4
Americas;CAN;Canada;Restricted civil liberties;2019;23.5
Africa;CAF;Central African Republic;SIGI;2019;43.4
Africa;CAF;Central African Republic;Discrimination in the family;2019;56.4
Africa;CAF;Central African Republic;Restricted physical integrity;2019;24.5
Africa;CAF;Central African Republic;Restricted access to productive and financial resources;2019;35.1
